# type|slug|name|icon  (source: https://undecember.thein.ru/en/runes/)
Link|BarrierAbsorb|Barrier Absorb|Icon_LinkSkill_ESAttackIncrease_01
Link|Intellectual|Intellectual|Icon_LinkSkill_Intellectual
Link|ElementMaster|Element Master|Icon_LinkSkill_ElementMaster
Link|Disturb|Disturb|Icon_LinkSkill_Disturb_01
Link|MinionPresence|Minion Presence|Icon_LinkSkill_FirmwillToSummon
Link|PromisedProtection|Promised Protection|Icon_LinkSkill_ProtectEnergy_01
Link|EndlessGrowth|Endless Growth|Icon_LinkSkill_EndlessGrowth_01
Link|ReverseTime|Reverse Time|Icon_LinkSkill_TimeRetrograde_01
Link|ManaOutburst|Mana Outburst|Icon_LinkSkill_ManaBerserk_01
Link|ManaStorm|Mana Storm|Icon_LinkSkill_SpellStorm_01
Link|Harmony|Harmony|Icon_LinkSkill_Harmony
Link|SpellActivationOnHit|Spell Activation on Hit|Icon_LinkSkill_HitSpell
Link|TotemActivationUponUsingEnhanceSkill|Totem Activation upon using Enhance Skill|Icon_LinkSkill_OnBuffTotem
Link|Smash|Smash|Icon_LinkSkill_ShockWave_01
Link|OverflowingEnergy|Overflowing Energy|Icon_LinkSkill_WarcryInfluence_01
Link|ExplosionLimit|Explosion Limit|Icon_LinkSkill_UnnecessaryOverHeat_01
